Elapsedtime,r,g,b,bpm
0:00:05.913225,0,0,0,76
0:00:05.925193,0,0,0,76
0:00:05.938154,0,0,0,76
0:00:05.950551,0,0,0,76
0:00:05.963571,0,0,0,76
0:00:05.976534,0,0,0,76
0:00:05.991493,0,0,0,76
0:00:06.005456,0,0,0,76
0:00:06.019746,0,0,0,76
0:00:06.034488,0,0,0,76
0:00:06.049266,0,0,0,76
0:00:06.063506,0,0,0,76
0:00:06.077979,0,0,0,76
0:00:06.092565,0,0,0,76
0:00:06.107525,0,0,0,76
0:00:06.121488,0,0,0,76
0:00:06.135621,0,0,0,76
0:00:06.149643,0,0,0,76
0:00:06.164414,0,0,0,76
0:00:06.178434,0,0,0,76
0:00:06.192690,0,0,0,76
0:00:06.207175,0,0,0,76
0:00:06.220683,0,0,0,76
0:00:06.235417,0,0,0,76
0:00:06.250470,0,0,0,76
0:00:06.265183,0,0,0,76
0:00:06.280234,0,0,0,76
0:00:06.293525,0,0,0,76
0:00:06.307488,0,0,0,76
0:00:06.322457,0,0,0,76
0:00:06.335779,0,0,0,76
0:00:06.349762,0,0,0,76
0:00:06.362727,0,0,0,76
0:00:06.374944,0,0,0,76
0:00:06.386913,0,0,0,76
0:00:06.398601,0,0,0,76
0:00:06.410659,0,0,0,76
0:00:06.424661,0,0,0,76
0:00:06.437717,0,0,0,76
0:00:06.451738,0,0,0,76
0:00:06.464704,0,0,0,76
0:00:06.477869,0,0,0,76
0:00:06.492193,0,0,0,76
0:00:06.506170,0,0,0,76
0:00:06.519348,0,0,0,76
0:00:06.533309,0,0,0,76
0:00:06.546272,0,0,0,76
0:00:06.560236,0,0,0,76
0:00:06.575196,0,0,0,76
0:00:06.589346,0,0,0,76
0:00:06.602506,0,0,0,76
0:00:06.616741,0,0,0,76
0:00:06.631438,0,0,0,76
0:00:06.645705,0,0,0,76
0:00:06.660121,0,0,0,76
0:00:06.675123,0,0,0,76
0:00:06.689415,0,0,0,76
0:00:06.703086,0,0,0,76
0:00:06.717929,0,0,0,76
0:00:06.731950,0,0,0,76
0:00:06.746991,0,0,0,76
0:00:06.761122,0,0,0,76
0:00:06.773127,0,0,0,76
0:00:06.786316,0,0,0,76
0:00:06.798895,0,0,0,76
0:00:06.812098,0,0,0,76
0:00:06.825072,0,0,0,76
0:00:06.838033,0,0,0,76
0:00:06.852303,0,0,0,76
0:00:06.867429,0,0,0,76
0:00:06.881773,0,0,0,76
0:00:06.896781,0,0,0,76
0:00:06.908799,0,0,0,76
0:00:06.920770,0,0,0,76
0:00:06.934732,0,0,0,76
0:00:06.947871,0,0,0,76
0:00:06.961429,0,0,0,76
0:00:06.974674,0,0,0,76
0:00:06.988001,0,0,0,76
0:00:07.001996,0,0,0,76
0:00:07.015929,0,0,0,76
0:00:07.030007,0,0,0,76
0:00:07.045349,0,0,0,76
0:00:07.060341,0,0,0,76
0:00:07.074338,0,0,0,76
0:00:07.089316,0,0,0,76
0:00:07.103563,0,0,0,76
0:00:07.118800,0,0,0,76
0:00:07.133919,0,0,0,76
0:00:07.148001,0,0,0,76
0:00:07.163122,0,0,0,76
0:00:07.177450,0,0,0,76
0:00:07.191030,0,0,0,76
0:00:07.204546,0,0,0,76
0:00:07.218888,0,0,0,76
0:00:07.232096,0,0,0,76
0:00:07.246323,0,0,0,76
0:00:07.259781,0,0,0,76
0:00:07.273062,0,0,0,76
0:00:07.286318,0,0,0,76
0:00:07.299661,0,0,0,76
0:00:07.313719,0,0,0,76
0:00:07.326806,0,0,0,76
0:00:07.340769,0,0,0,76
0:00:07.354022,0,0,0,76
0:00:07.368144,0,0,0,76
0:00:07.382107,0,0,0,76
0:00:07.394861,0,0,0,76
0:00:07.409011,0,0,0,76
0:00:07.421994,0,0,0,76
0:00:07.436017,0,0,0,76
0:00:07.449243,0,0,0,76
0:00:07.463205,0,0,0,76
0:00:07.476428,0,0,0,76
0:00:07.490393,0,0,0,76
0:00:07.504425,0,0,0,76
0:00:07.518575,0,0,0,76
0:00:07.531564,0,0,0,76
0:00:07.544837,0,0,0,76
0:00:07.558595,0,0,0,76
0:00:07.572593,0,0,0,76
0:00:07.586554,0,0,0,76
0:00:07.599814,0,0,0,76
0:00:07.614168,0,0,0,76
0:00:07.629423,0,0,0,76
0:00:07.643804,0,0,0,76
0:00:07.658042,0,0,0,76
0:00:07.671583,0,0,0,76
0:00:07.685051,0,0,0,76
0:00:07.700255,0,0,0,76
0:00:07.714738,0,0,0,76
0:00:07.730124,0,0,0,76
0:00:07.744041,0,0,0,75
0:00:07.757744,0,0,0,75
0:00:07.773237,0,0,0,75
0:00:07.787328,0,0,0,75
0:00:07.802289,0,0,0,75
0:00:07.816576,0,0,0,75
0:00:07.828493,0,0,0,75
0:00:07.841433,0,0,0,75
0:00:07.853437,0,0,0,75
0:00:07.865443,0,0,0,75
0:00:07.878385,0,0,0,75
0:00:07.890364,0,0,0,75
0:00:07.903287,0,0,0,75
0:00:07.915289,0,0,0,75
0:00:07.928535,0,0,0,75
0:00:07.942910,0,0,0,75
0:00:07.958034,0,0,0,75
0:00:07.970001,0,0,0,75
0:00:07.981975,0,0,0,75
0:00:07.993910,0,0,0,75
0:00:08.005204,0,0,0,75
0:00:08.017872,0,0,0,75
0:00:08.032404,0,0,0,75
0:00:08.046491,0,0,0,75
0:00:08.059725,0,0,0,75
0:00:08.073729,0,0,0,75
0:00:08.087692,0,0,0,75
0:00:08.101003,0,0,0,75
0:00:08.114965,0,0,0,75
0:00:08.128027,0,0,0,75
0:00:08.141988,0,0,0,75
0:00:08.156271,0,0,0,75
0:00:08.171230,0,0,0,75
0:00:08.185195,0,0,0,75
0:00:08.197203,0,0,0,75
0:00:08.208169,0,0,0,75
0:00:08.220081,0,0,0,75
0:00:08.230756,0,0,0,75
0:00:08.243978,0,0,0,75
0:00:08.257798,0,0,0,75
0:00:08.272802,0,0,0,75
0:00:08.286348,0,0,0,75
0:00:08.300419,0,0,0,75
0:00:08.313600,0,0,0,75
0:00:08.327773,0,0,0,75
0:00:08.342424,0,0,0,75
0:00:08.356873,0,0,0,75
0:00:08.371053,0,0,0,75
0:00:08.385338,0,0,0,75
0:00:08.400380,0,0,0,75
0:00:08.414421,0,0,0,75
0:00:08.427628,0,0,0,76
0:00:08.441797,0,0,0,76
0:00:08.455313,0,0,0,76
0:00:08.468833,0,0,0,76
0:00:08.483018,0,0,0,76
0:00:08.496023,0,0,0,76
0:00:08.509954,0,0,0,76
0:00:08.522919,0,0,0,76
0:00:08.537928,0,0,0,76
0:00:08.552896,0,0,0,76
0:00:08.563865,0,0,0,76
0:00:08.576121,0,0,0,76
0:00:08.588179,0,0,0,76
0:00:08.601516,0,0,0,76
0:00:08.614518,0,0,0,76
0:00:08.626715,0,0,0,76
0:00:08.639907,0,0,0,76
0:00:08.652908,0,0,0,76
0:00:08.665902,0,0,0,76
0:00:08.679267,0,0,0,76
0:00:08.693389,0,0,0,76
0:00:08.707674,0,0,0,76
0:00:08.721781,0,1,0,76
0:00:08.736712,0,1,0,76
0:00:08.750694,0,1,0,76
0:00:08.765672,0,1,0,76
0:00:08.779813,0,1,0,76
0:00:08.793965,0,1,0,76
0:00:08.808759,0,1,0,76
0:00:08.823053,0,1,0,76
0:00:08.837308,0,1,0,76
0:00:08.852553,0,1,0,76
0:00:08.865575,0,0,0,76
0:00:08.879598,0,0,0,76
0:00:08.892561,0,0,0,76
0:00:08.905970,0,0,0,76
0:00:08.920061,0,0,0,76
0:00:08.935321,0,0,0,76
0:00:08.950311,0,0,0,76
0:00:08.964582,0,0,0,76
0:00:08.978564,0,0,0,76
0:00:08.991529,0,1,0,76
0:00:09.004773,0,1,0,76
0:00:09.018948,0,1,0,76
0:00:09.034174,0,1,0,76
0:00:09.049397,0,1,0,76
0:00:09.063551,0,1,0,76
0:00:09.076838,0,1,0,76
0:00:09.090801,0,1,0,76
0:00:09.104000,0,1,0,76
0:00:09.117962,0,0,0,76
0:00:09.131924,0,0,0,76
0:00:09.142898,0,0,0,76
0:00:09.154909,0,0,0,76
0:00:09.167992,0,0,0,76
0:00:09.180955,0,0,0,76
0:00:09.193920,0,0,0,76
0:00:09.207921,0,0,0,76
0:00:09.222498,0,1,0,76
0:00:09.237101,0,1,0,76
0:00:09.251138,0,1,0,76
0:00:09.263107,0,1,0,76
0:00:09.274122,0,1,0,76
0:00:09.286042,0,1,0,76
0:00:09.298008,0,1,0,76
0:00:09.310970,0,1,0,76
0:00:09.321938,0,1,0,76
0:00:09.333936,0,0,0,76
0:00:09.346901,0,0,0,76
0:00:09.359862,0,0,0,76
0:00:09.372827,0,0,0,76
0:00:09.385131,0,0,0,76
0:00:09.398039,0,0,0,76
0:00:09.411527,0,0,0,76
0:00:09.424528,0,0,0,76
0:00:09.436528,0,0,0,76
0:00:09.450840,0,1,0,76
0:00:09.464924,0,1,0,76
0:00:09.479957,0,1,0,76
0:00:09.494346,0,1,0,76
0:00:09.508856,0,1,0,76
0:00:09.523795,0,1,0,76
0:00:09.537777,0,1,0,76
0:00:09.552738,0,1,0,76
0:00:09.567699,0,1,0,76
0:00:09.581661,0,1,0,76
0:00:09.596649,0,0,0,76
0:00:09.610629,0,0,0,76
0:00:09.625464,0,0,0,76
0:00:09.639412,0,0,0,76
0:00:09.653601,0,0,0,76
0:00:09.667708,0,0,0,76
0:00:09.682943,0,0,0,76
0:00:09.697065,0,1,0,76
0:00:09.711627,0,1,0,76
0:00:09.726728,0,1,0,76
0:00:09.741322,0,1,0,76
0:00:09.756088,0,1,0,76
0:00:09.767113,0,1,0,76
0:00:09.779076,0,1,0,76
0:00:09.791278,0,1,0,76
0:00:09.804286,0,1,0,76
0:00:09.817476,0,0,0,76
0:00:09.831583,0,0,0,76
0:00:09.845712,0,0,0,76
0:00:09.859908,0,0,0,75
0:00:09.873820,0,0,0,75
0:00:09.886785,0,0,0,75
0:00:09.900461,0,0,0,75
0:00:09.914423,0,0,0,75
